idx,type,x1,x2,x3,x4,function_value,d_2,d_3,d_4,d_5,d_6,d_7,d_8,converging,distance_reduction
1,min,0.256625076922502,-1.01624596361443,0.256625076922502,-1.01624596361443,4.923502776613928e-27,0.3998655357343813,0.03357430978305013,0.03108193461620776,0.028665448754264383,0.03570087050367219,0.03494632127229879,0.035011906099912185,true,0.36485362963446916
2,saddle,0.256625076922502,-1.01624596361443,0.507030772828217,-0.917350578608486,0.28354478624479046,0.2839666868678485,0.2729601542732789,0.29087397801326853,0.027117265195736078,0.03187447840662598,0.03217669042961751,0.032237333496235615,true,0.25172935337161284
3,min,0.256625076922502,-1.01624596361443,0.74115190368376,-0.741151903683748,3.23705374671949e-27,0.28381412581703,0.10549031904288324,0.11797449470748707,0.04573486904869795,0.06392541137362025,0.0708346257753209,0.07024895271010638,true,0.21356517310692363
4,saddle,0.256625076922502,-1.01624596361443,0.917350578608475,-0.50703077282823,0.28354478624479046,0.28396668686784743,0.2729601542732943,0.2908739780132844,0.027117265195742757,0.03187447840663326,0.03217669042962336,0.032237333496233846,true,0.25172935337161356
5,min,0.256625076922502,-1.01624596361443,1.01624596361443,-0.256625076922483,5.51503752196489e-27,0.3998655357343872,0.03357430978304419,0.031081934616197335,0.0286654487542571,0.035700870503663565,0.034946321272288965,0.03501190609990032,true,0.36485362963448686
6,saddle,0.507030772828217,-0.917350578608486,0.256625076922502,-1.01624596361443,0.28354478624479046,0.283966686867831,0.27296015427327847,0.2908739780132666,0.027117265195732716,0.031874478406636333,0.03217669042962761,0.03223733349624126,true,0.25172935337158975
7,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.5670895724895809,0.03717138460229496,0.38456112305376894,0.41018197853030974,0.02547516812718171,0.027521129930829613,0.029145041491490647,0.02920030433311267,true,0.00797108026918229
8,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.28354478624479046,0.03598736717007208,0.2907029737640345,0.31234526701594695,0.04478075888497138,0.06186993161675323,0.06950998665851646,0.06890810880488184,false,-0.03292074163480976
9,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.5670895724895809,0.037171384602287756,0.3845611230537799,0.41018197853032096,0.0254751681271901,0.02752112993083939,0.02914504149149944,0.029200304333112465,true,0.007971080269175292
10,saddle,0.507030772828217,-0.917350578608486,1.01624596361443,-0.256625076922483,0.28354478624479046,0.2839666868678394,0.27296015427327774,0.29087397801326537,0.027117265195724553,0.03187447840662586,0.03217669042961596,0.032237333496227476,true,0.2517293533716119
11,min,0.74115190368376,-0.741151903683748,0.256625076922502,-1.01624596361443,3.23705374671949e-27,0.2838141258169827,0.1054903190428835,0.11797449470747763,0.0457348690486888,0.06392541137361908,0.07083462577531688,0.07024895271009803,true,0.21356517310688466
12,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.28354478624479046,0.03598736717003784,0.29070297376403453,0.3123452670159455,0.04478075888497121,0.06186993161673904,0.06950998665850161,0.06890810880487414,false,-0.0329207416348363
13,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,1.5506047168250513e-27,0.03476304587366663,0.14535879934193952,0.1639203347467419,0.05797972526253842,0.08305639219140881,0.09388206989086012,0.09297309903936424,false,-0.058210053165697606
14,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.28354478624479046,0.03598736717002554,0.2907029737640508,0.3123452670159581,0.04478075888497086,0.061869931616740544,0.06950998665850033,0.06890810880486682,false,-0.03292074163484128
15,min,0.74115190368376,-0.741151903683748,1.01624596361443,-0.256625076922483,3.828588492070452e-27,0.28381412581697396,0.10549031904288114,0.11797449470747137,0.045734869048687385,0.06392541137361746,0.07083462577531495,0.07024895271009361,true,0.21356517310688033
16,saddle,0.917350578608475,-0.50703077282823,0.256625076922502,-1.01624596361443,0.28354478624479046,0.28396668686783044,0.2729601542732949,0.2908739780132835,0.02711726519573952,0.03187447840664284,0.03217669042963506,0.03223733349624958,true,0.25172935337158087
17,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.5670895724895809,0.03717138460228755,0.3845611230537806,0.4101819785303216,0.02547516812718949,0.02752112993083683,0.029145041491499955,0.029200304333119077,true,0.00797108026916847
18,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.28354478624479046,0.03598736717005384,0.29070297376405146,0.31234526701596227,0.04478075888497402,0.06186993161675628,0.06950998665852032,0.06890810880488599,false,-0.03292074163483215
19,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.5670895724895809,0.03717138460228063,0.3845611230537914,0.41018197853033306,0.025475168127197006,0.027521129930846516,0.02914504149150725,0.02920030433311599,true,0.00797108026916464
20,saddle,0.917350578608475,-0.50703077282823,1.01624596361443,-0.256625076922483,0.28354478624479046,0.28396668686783905,0.27296015427329406,0.29087397801328246,0.02711726519573162,0.03187447840663301,0.032176690429623934,0.032237333496237,true,0.25172935337160207
21,min,1.01624596361443,-0.256625076922483,0.256625076922502,-1.01624596361443,5.51503752196489e-27,0.39986553573438616,0.03357430978304405,0.03108193461619812,0.02866544875425787,0.035700870503664654,0.03494632127229142,0.03501190609990392,true,0.36485362963448226
22,saddle,1.01624596361443,-0.256625076922483,0.507030772828217,-0.917350578608486,0.28354478624479046,0.283966686867855,0.27296015427327813,0.29087397801326725,0.02711726519572871,0.03187447840661829,0.03217669042960853,0.03223733349622744,true,0.25172935337162755
23,min,1.01624596361443,-0.256625076922483,0.74115190368376,-0.741151903683748,3.828588492070452e-27,0.2838141258170166,0.10549031904288117,0.11797449470748476,0.04573486904869532,0.06392541137361644,0.07083462577531785,0.07024895271010183,true,0.21356517310691475
24,saddle,1.01624596361443,-0.256625076922483,0.917350578608475,-0.50703077282823,0.28354478624479046,0.2839666868678539,0.2729601542732935,0.2908739780132834,0.02711726519573592,0.03187447840662609,0.03217669042961578,0.032237333496227566,true,0.2517293533716264
25,min,1.01624596361443,-0.256625076922483,1.01624596361443,-0.256625076922483,6.1065722673158524e-27,0.3998655357343922,0.03357430978303807,0.031081934616187915,0.028665448754250273,0.03570087050365563,0.03494632127228102,0.03501190609989127,true,0.36485362963450096
